"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 23, 2017","2,472.10","2,472.04","2,484.04","2,459.93","-","-0.02%"
"Jul 16, 2017","2,472.54","2,459.50","2,477.62","2,450.34","-","0.54%"
"Jul 09, 2017","2,459.27","2,424.51","2,463.54","2,412.79","-","1.41%"
"Jul 02, 2017","2,425.18","2,431.39","2,439.17","2,407.70","-","0.07%"
"Jun 25, 2017","2,423.41","2,443.32","2,450.42","2,405.70","-","-0.61%"
"Jun 18, 2017","2,438.30","2,442.55","2,453.82","2,430.74","-","0.21%"
"Jun 11, 2017","2,433.15","2,425.88","2,443.75","2,418.53","-","0.06%"
"Jun 04, 2017","2,431.77","2,437.83","2,446.20","2,415.70","-","-0.30%"
"May 28, 2017","2,439.07","2,411.67","2,440.23","2,403.59","-","0.96%"
"May 21, 2017","2,415.82","2,387.21","2,418.71","2,386.92","-","1.43%"
"May 14, 2017","2,381.73","2,393.98","2,405.77","2,352.72","-","-0.38%"
"May 07, 2017","2,390.90","2,399.94","2,403.87","2,381.74","-","-0.35%"
"Apr 30, 2017","2,399.29","2,388.50","2,399.29","2,379.75","-","0.63%"
"Apr 23, 2017","2,384.20","2,370.33","2,398.16","2,369.19","-","1.51%"
"Apr 16, 2017","2,348.69","2,332.62","2,361.37","2,332.51","-","0.85%"
"Apr 09, 2017","2,328.95","2,357.16","2,366.37","2,328.95","-","-1.13%"
"Apr 02, 2017","2,355.54","2,362.34","2,378.36","2,344.73","-","-0.30%"
"Mar 26, 2017","2,362.72","2,329.11","2,370.42","2,322.25","-","0.80%"
"Mar 19, 2017","2,343.98","2,378.24","2,381.93","2,335.74","-","-1.44%"
"Mar 12, 2017","2,378.25","2,371.56","2,390.01","2,358.18","-","0.24%"
"Mar 05, 2017","2,372.60","2,375.23","2,378.80","2,354.54","-","-0.44%"
"Feb 26, 2017","2,383.12","2,365.23","2,400.98","2,358.96","-","0.67%"
"Feb 19, 2017","2,367.34","2,354.91","2,368.26","2,352.87","-","0.69%"
"Feb 12, 2017","2,351.16","2,321.72","2,351.31","2,321.42","-","1.51%"
"Feb 05, 2017","2,316.10","2,294.28","2,319.23","2,285.38","-","0.81%"
"Jan 29, 2017","2,297.42","2,286.01","2,298.31","2,267.21","-","0.12%"
"Jan 22, 2017","2,294.69","2,267.78","2,300.99","2,257.02","-","1.03%"
"Jan 15, 2017","2,271.31","2,269.14","2,276.96","2,258.41","-","-0.15%"
"Jan 08, 2017","2,274.64","2,273.59","2,279.27","2,254.25","-","-0.10%"
"Jan 01, 2017","2,276.98","2,251.57","2,282.10","2,245.13","-","1.70%"
"Dec 25, 2016","2,238.83","2,266.23","2,273.82","2,233.62","-","-1.10%"
"Dec 18, 2016","2,263.79","2,259.24","2,272.56","2,256.08","-","0.25%"
"Dec 11, 2016","2,258.07","2,258.83","2,277.53","2,248.44","-","-0.06%"
"Dec 04, 2016","2,259.53","2,200.65","2,259.80","2,199.97","-","3.08%"
"Nov 27, 2016","2,191.95","2,210.21","2,214.10","2,187.44","-","-0.97%"
"Nov 20, 2016","2,213.35","2,186.43","2,213.35","2,186.43","-","1.44%"
"Nov 13, 2016","2,181.90","2,165.64","2,189.89","2,156.08","-","0.81%"
"Nov 06, 2016","2,164.45","2,100.59","2,182.30","2,100.59","-","3.80%"
"Oct 30, 2016","2,085.18","2,129.78","2,133.25","2,083.79","-","-1.94%"
"Oct 23, 2016","2,126.41","2,148.50","2,154.79","2,119.36","-","-0.69%"
"Oct 16, 2016","2,141.16","2,132.95","2,148.44","2,124.43","-","0.38%"
"Oct 09, 2016","2,132.98","2,160.39","2,169.60","2,114.72","-","-0.96%"
"Oct 02, 2016","2,153.74","2,164.33","2,165.86","2,144.01","-","-0.67%"
"Sep 25, 2016","2,168.27","2,158.54","2,175.30","2,141.55","-","0.17%"
"Sep 18, 2016","2,164.69","2,143.99","2,179.99","2,135.91","-","1.19%"
"Sep 11, 2016","2,139.16","2,120.86","2,163.30","2,119.12","-","0.53%"
"Sep 04, 2016","2,127.81","2,181.61","2,187.87","2,127.81","-","-2.39%"
"Aug 28, 2016","2,179.98","2,170.19","2,184.87","2,157.09","-","0.50%"
"Aug 21, 2016","2,169.04","2,181.58","2,193.42","2,160.39","-","-0.68%"
"Aug 14, 2016","2,183.87","2,186.08","2,193.81","2,168.50","-","-0.01%"
"Aug 07, 2016","2,184.05","2,183.76","2,188.45","2,172.00","-","0.05%"
"Jul 31, 2016","2,182.87","2,173.15","2,182.87","2,147.58","-","0.43%"
"Jul 24, 2016","2,173.60","2,173.71","2,177.09","2,159.07","-","-0.07%"
"Jul 17, 2016","2,175.03","2,162.04","2,175.63","2,159.01","-","0.61%"
"Jul 10, 2016","2,161.74","2,131.72","2,169.05","2,131.72","-","1.49%"
"Jul 03, 2016","2,129.90","2,095.05","2,131.71","2,074.02","-","1.28%"
"Jun 26, 2016","2,102.95","2,031.45","2,108.71","1,991.68","-","3.22%"
"Jun 19, 2016","2,037.41","2,075.58","2,113.32","2,032.57","-","-1.63%"
"Jun 12, 2016","2,071.22","2,091.75","2,098.12","2,050.37","-","-1.19%"
"Jun 05, 2016","2,096.07","2,100.83","2,120.55","2,089.96","-","-0.15%"
"May 29, 2016","2,099.13","2,100.13","2,105.26","2,085.10","-","0.00%"
