"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 08, 2019","8,176.71","8,130.91","8,243.80","8,001.69","2.83B","0.91%"
"Sep 01, 2019","8,103.07","7,906.44","8,134.42","7,847.32","2.04B","1.76%"
"Aug 25, 2019","7,962.88","7,829.58","8,017.91","7,766.67","2.30B","2.72%"
"Aug 18, 2019","7,751.77","8,006.18","8,048.58","7,730.77","2.44B","-1.83%"
"Aug 11, 2019","7,895.99","7,907.49","8,065.24","7,716.55","2.86B","-0.79%"
"Aug 04, 2019","7,959.14","7,823.33","8,041.12","7,662.90","3.11B","-0.56%"
"Jul 28, 2019","8,004.07","8,325.10","8,325.28","7,953.67","3.07B","-3.92%"
"Jul 21, 2019","8,330.21","8,171.99","8,339.64","8,171.54","2.56B","2.26%"
"Jul 14, 2019","8,146.49","8,263.18","8,264.78","8,135.12","2.43B","-1.18%"
"Jul 07, 2019","8,244.14","8,112.91","8,245.66","8,061.32","2.47B","1.01%"
"Jun 30, 2019","8,161.79","8,145.85","8,171.97","8,059.29","1.91B","1.94%"
"Jun 23, 2019","8,006.24","8,040.58","8,047.56","7,879.15","3.90B","-0.32%"
"Jun 16, 2019","8,031.71","7,819.43","8,088.88","7,812.61","3.34B","3.01%"
"Jun 09, 2019","7,796.66","7,798.87","7,909.99","7,773.97","2.46B","0.70%"
"Jun 02, 2019","7,742.10","7,441.22","7,767.02","7,292.22","2.87B","3.88%"
"May 26, 2019","7,453.15","7,655.66","7,693.74","7,448.23","2.41B","-2.41%"
"May 19, 2019","7,637.01","7,714.06","7,804.44","7,585.32","2.54B","-2.29%"
"May 12, 2019","7,816.28","7,720.07","7,946.23","7,627.23","2.79B","-1.27%"
"May 05, 2019","7,916.94","7,981.85","8,135.54","7,759.34","2.90B","-3.03%"
"Apr 28, 2019","8,164.00","8,147.65","8,176.08","7,976.77","2.67B","0.22%"
"Apr 21, 2019","8,146.40","7,969.37","8,151.85","7,965.90","2.50B","1.85%"
"Apr 14, 2019","7,998.06","7,987.16","8,052.40","7,933.56","2.08B","0.17%"
"Apr 07, 2019","7,984.16","7,924.89","7,992.09","7,891.85","2.43B","0.57%"
"Mar 31, 2019","7,938.69","7,800.24","7,940.45","7,777.10","2.71B","2.71%"
"Mar 24, 2019","7,729.32","7,618.98","7,738.17","7,579.29","2.72B","1.13%"
"Mar 17, 2019","7,642.67","7,696.38","7,850.10","7,642.57","3.07B","-0.60%"
"Mar 10, 2019","7,688.53","7,442.56","7,714.96","7,442.40","3.74B","3.78%"
"Mar 03, 2019","7,408.14","7,636.62","7,643.66","7,332.92","2.90B","-2.46%"
"Feb 24, 2019","7,595.35","7,585.30","7,603.03","7,485.39","3.13B","0.90%"
"Feb 17, 2019","7,527.55","7,450.75","7,527.55","7,430.89","2.18B","0.74%"
