Date;Price;Open;High;Low;Vol.;Change %;;Price
Jul 01, 2018,;6,761.7;6,617.6;6,826.1;6,418.7;130.70K;5.79%;;2,801.31
Jun 24, 2018,;6,391.5;6,151.9;6,518.1;5,762.9;203.40K;3.89%;;2,759.82
Jun 17, 2018,;6,152.0;6,491.0;6,832.9;5,929.1;158.49K;-5.15%;;2,718.37
Jun 10, 2018,;6,485.9;7,498.1;7,498.1;6,125.7;225.83K;-13.51%;;2,754.88
Jun 03, 2018,;7,498.6;7,639.0;7,777.4;7,372.9;97.49K;-1.83%;;2,779.66
May 27, 2018,;7,638.1;7,330.8;7,691.2;7,048.6;148.70K;4.20%;;2,779.03
May 20, 2018,;7,330.3;8,230.9;8,586.9;7,260.9;173.48K;-10.96%;;2,734.62
May 13, 2018,;8,232.3;8,467.0;8,882.4;7,927.8;181.80K;-2.72%;;2,721.33
May 06, 2018,;8,462.7;9,859.6;9,963.9;8,204.5;216.13K;-14.17%;;2,712.97
Apr 29, 2018,;9,859.6;9,340.3;9,990.0;8,829.1;186.86K;5.50%;;2,727.72
Apr 22, 2018,;9,345.3;8,917.6;9,761.5;8,656.0;307.97K;4.78%;;2,663.42
Apr 15, 2018,;8,919.1;8,003.0;9,029.0;7,823.3;246.91K;11.45%;;2,669.91
Apr 08, 2018,;8,002.9;6,892.6;8,230.0;6,611.0;341.99K;16.11%;;2,670.14
Apr 01, 2018,;6,892.6;6,925.4;7,509.6;6,432.4;331.08K;-0.47%;;2,656.30
Mar 25, 2018,;6,925.3;8,525.0;8,673.9;6,533.0;426.25K;-18.86%;;2,604.47
Mar 18, 2018,;8,535.0;7,832.0;9,175.2;7,240.0;402.89K;8.71%;;2,640.87
Mar 11, 2018,;7,851.0;8,764.4;9,894.7;7,666.3;466.31K;-10.40%;;2,588.26
Mar 04, 2018,;8,762.0;11,454.0;11,696.0;8,351.0;393.58K;-23.41%;;2,752.01
Feb 25, 2018,;11,440.0;9,666.3;11,526.0;9,284.3;253.45K;18.35%;;2,786.57
Feb 18, 2018,;9,666.3;11,062.0;11,776.0;9,350.3;444.45K;-12.55%;;2,691.25
Feb 11, 2018,;11,053.5;8,563.0;11,083.0;7,851.0;357.71K;29.08%;;2,747.30
Feb 04, 2018,;8,563.1;9,225.1;9,403.3;6,000.0;713.97K;-7.12%;;2,732.22
Jan 28, 2018,;9,219.4;11,455.1;12,181.0;7,972.2;413.82K;-19.56%;;2,619.55
Jan 21, 2018,;11,461.0;12,732.0;12,732.0;9,901.1;353.23K;-9.95%;;2,762.13
Jan 14, 2018,;12,728.0;14,190.0;14,391.0;9,231.1;513.24K;-10.31%;;2,872.87
Jan 07, 2018,;14,191.0;17,163.0;17,176.0;12,639.0;334.69K;-17.31%;;2,810.30
Dec 31, 2017,;17,161.0;12,385.0;17,252.0;12,183.9;-;38.65%;;2,786.24
Dec 24, 2017,;12,377.0;14,036.0;16,494.0;11,601.2;432.74K;-11.81%;;2,743.15
Dec 17, 2017,;14,035.0;19,210.0;19,891.0;10,718.0;558.69K;-26.85%;;2,673.61
Dec 10, 2017,;19,187.0;14,660.0;19,548.0;12,748.0;457.22K;30.88%;;2,683.34
Dec 03, 2017,;14,660.0;10,880.0;17,160.0;10,299.0;632.52K;34.73%;;2,675.81
Nov 26, 2017,;10,881.0;8,791.0;11,427.2;8,769.2;626.99K;24.12%;;2,651.50
Nov 19, 2017,;8,766.2;7,770.6;8,770.0;7,652.0;297.33K;12.77%;;2,642.22
Nov 12, 2017,;7,773.3;6,282.4;8,029.8;5,426.0;606.78K;23.37%;;2,602.42
Nov 05, 2017,;6,300.7;7,370.9;7,895.0;6,166.0;455.80K;-14.50%;;2,578.85
Oct 29, 2017,;7,369.0;5,718.1;7,521.1;5,662.9;401.30K;28.82%;;2,582.30
Oct 22, 2017,;5,720.6;6,005.1;6,069.6;5,367.9;335.56K;-4.74%;;2,587.84
Oct 15, 2017,;6,005.1;5,838.7;6,190.0;5,114.3;343.03K;2.92%;;2,581.07
Oct 08, 2017,;5,835.0;4,435.9;5,874.3;4,417.6;365.62K;31.54%;;2,575.21
Oct 01, 2017,;4,436.0;4,366.6;4,482.0;4,134.9;181.92K;1.58%;;2,553.17
Sep 24, 2017,;4,367.0;3,779.6;4,393.4;3,620.0;238.08K;15.54%;;2,549.33
Sep 17, 2017,;3,779.6;3,680.1;4,113.9;3,476.3;308.86K;2.56%;;2,519.36
Sep 10, 2017,;3,685.4;4,315.4;4,378.4;2,981.0;569.67K;-14.65%;;2,502.22
Sep 03, 2017,;4,317.9;4,534.2;4,699.8;3,900.1;304.54K;-4.77%;;2,500.23
Aug 27, 2017,;4,534.4;4,340.2;4,969.0;4,175.7;184.35K;4.44%;;2,461.43
Aug 20, 2017,;4,341.7;4,145.0;4,461.2;3,600.0;205.52K;4.74%;;2,476.55
Aug 13, 2017,;4,145.1;3,866.2;4,489.1;3,836.1;310.66K;7.23%;;2,443.05
Aug 06, 2017,;3,865.5;3,255.0;3,965.4;3,156.0;182.68K;18.70%;;2,425.55
Jul 30, 2017,;3,256.4;2,713.7;3,331.9;2,595.0;215.02K;19.98%;;2,441.32
Jul 23, 2017,;2,714.1;2,845.7;2,875.7;2,404.6;242.31K;-4.62%;;2,476.83
Jul 16, 2017,;2,845.7;1,979.7;2,919.9;1,835.8;349.52K;43.82%;;2,472.10
Jul 09, 2017,;1,978.6;2,542.0;2,555.6;1,975.7;178.51K;-22.16%;;2,472.54
Jul 02, 2017,;2,542.0;2,346.2;2,628.0;2,302.0;94.67K;8.19%;;2,459.27
Jun 25, 2017,;2,349.5;2,502.6;2,595.0;2,208.1;148.25K;-6.12%;;2,425.18
Jun 18, 2017,;2,502.6;2,610.1;2,779.6;2,421.0;118.88K;-4.11%;;2,423.41
Jun 11, 2017,;2,610.0;2,806.0;3,000.0;2,050.0;220.14K;-6.99%;;2,438.30
Jun 04, 2017,;2,806.0;2,461.6;2,896.5;2,376.4;134.71K;14.02%;;2,433.15
May 28, 2017,;2,461.0;1,980.0;2,481.0;1,955.5;127.20K;24.78%;;2,431.77
May 21, 2017,;1,972.3;2,059.3;2,689.0;1,810.0;268.56K;-4.24%;;2,439.07
May 14, 2017,;2,059.7;1,820.6;2,072.2;1,720.0;110.43K;13.15%;;2,415.82
May 07, 2017,;1,820.4;1,597.0;1,908.0;1,575.1;146.03K;13.98%;;2,381.73
Apr 30, 2017,;1,597.1;1,425.4;1,701.9;1,403.3;142.76K;12.19%;;2,390.90
Apr 23, 2017,;1,423.6;1,346.4;1,449.7;1,326.9;68.92K;5.65%;;2,399.29
