"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 14, 2018","1,303.80","1,303.80","1,303.80","1,303.80","0.05K","0.58%"
"Oct 07, 2018","1,296.30","1,271.20","1,271.20","1,271.20","0.06K","1.26%"
"Sep 30, 2018","1,280.20","1,280.20","1,280.20","1,280.20","0.01K","0.91%"
"Sep 23, 2018","1,268.70","1,260.00","1,270.00","1,260.00","0.00K","-0.44%"
"Sep 16, 2018","1,274.30","1,274.30","1,274.30","1,274.30","0.07K","0.04%"
"Sep 09, 2018","1,273.80","1,269.60","1,271.00","1,269.50","0.02K","0.13%"
"Sep 02, 2018","1,272.10","1,266.10","1,271.90","1,266.10","0.01K","-0.44%"
"Aug 26, 2018","1,277.70","1,277.70","1,277.70","1,277.70","1.00K","-0.57%"
"Aug 19, 2018","1,285.00","1,266.00","1,280.20","1,266.00","0.01K","2.14%"
"Aug 12, 2018","1,258.10","1,273.40","1,273.40","1,265.80","0.05K","-2.82%"
"Aug 05, 2018","1,294.60","1,302.80","1,305.00","1,298.60","0.01K","-0.37%"
"Jul 29, 2018","1,299.40","1,306.90","1,309.10","1,288.80","0.02K","-0.73%"
"Jul 22, 2018","1,309.00","1,307.60","1,307.60","1,307.60","0.00K","-0.59%"
"Jul 15, 2018","1,316.80","1,320.00","1,320.00","1,302.00","0.11K","-0.92%"
"Jul 08, 2018","1,329.00","1,327.00","1,327.00","1,327.00","0.00K","-1.16%"
"Jul 01, 2018","1,344.60","1,344.60","1,344.60","1,344.60","0.08K","0.07%"
"Jun 24, 2018","1,343.70","1,353.70","1,353.70","1,353.70","0.00K","-1.32%"
"Jun 17, 2018","1,361.70","1,376.80","1,376.80","1,360.00","0.00K","-0.58%"
"Jun 10, 2018","1,369.70","1,369.70","1,369.70","1,369.70","0.99K","-1.80%"
"Jun 03, 2018","1,394.80","1,389.60","1,390.50","1,389.60","0.03K","0.34%"
"May 27, 2018","1,390.10","1,392.40","1,392.40","1,392.40","0.08K","-0.93%"
"May 20, 2018","1,403.20","1,403.20","1,403.20","1,403.20","0.11K","0.86%"
"May 13, 2018","1,391.30","1,405.30","1,405.30","1,405.30","0.00K","-2.05%"
"May 06, 2018","1,420.40","1,413.50","1,413.50","1,413.30","0.03K","0.40%"
"Apr 29, 2018","1,414.70","1,414.70","1,414.70","1,414.70","0.10K","-0.63%"
"Apr 22, 2018","1,423.60","1,423.60","1,423.60","1,423.60","0.01K","-1.02%"
"Apr 15, 2018","1,438.20","1,460.10","1,460.10","1,442.00","0.00K","-0.67%"
"Apr 08, 2018","1,447.90","1,447.90","1,447.90","1,447.90","0.61K","0.84%"
"Apr 01, 2018","1,435.90","1,435.90","1,435.90","1,435.90","2.68K","0.69%"
"Mar 25, 2018","1,426.00","1,426.00","1,426.00","1,426.00","64.89K","-1.99%"
"Mar 18, 2018","1,455.00","1,455.00","1,455.00","1,455.00","0.01K","2.73%"
"Mar 11, 2018","1,416.30","1,433.40","1,433.40","1,433.40","0.00K","-0.82%"
"Mar 04, 2018","1,428.00","1,428.00","1,428.00","1,428.00","0.21K","0.27%"
"Feb 25, 2018","1,424.20","1,424.20","1,424.20","1,424.20","1.01K","-0.34%"
"Feb 18, 2018","1,429.00","1,429.00","1,429.00","1,429.00","0.90K","-1.64%"
"Feb 11, 2018","1,452.80","1,452.80","1,452.80","1,452.80","0.83K","3.03%"
"Feb 04, 2018","1,410.10","1,410.10","1,410.10","1,410.10","2.57K","-1.71%"
"Jan 28, 2018","1,434.60","1,434.60","1,434.60","1,434.60","0.00K","-1.31%"
"Jan 21, 2018","1,453.70","1,453.70","1,453.70","1,453.70","0.24K","1.95%"
"Jan 14, 2018","1,425.90","1,425.90","1,425.90","1,425.90","0.30K","0.01%"
"Jan 07, 2018","1,425.70","1,398.00","1,398.00","1,398.00","0.00K","1.24%"
"Dec 31, 2017","1,408.30","1,399.00","1,399.00","1,399.00","0.00K","1.18%"
"Dec 24, 2017","1,391.90","1,372.10","1,372.10","1,372.00","0.01K","2.36%"
"Dec 17, 2017","1,359.80","1,353.70","1,354.30","1,353.70","0.00K","1.67%"
"Dec 10, 2017","1,337.40","1,342.00","1,342.00","1,334.00","0.06K","0.70%"
"Dec 03, 2017","1,328.10","1,327.60","1,330.50","1,327.60","0.01K","-2.55%"
"Nov 26, 2017","1,362.80","1,382.00","1,382.00","1,382.00","0.01K","-0.64%"
"Nov 19, 2017","1,371.60","1,371.60","1,371.60","1,371.60","0.03K","-0.46%"
"Nov 12, 2017","1,378.00","1,378.00","1,378.00","1,378.00","0.06K","1.73%"
"Nov 05, 2017","1,354.50","1,354.50","1,354.50","1,354.50","0.10K","0.56%"
"Oct 29, 2017","1,346.90","1,346.90","1,346.90","1,346.90","0.68K","-0.16%"
"Oct 22, 2017","1,349.10","1,351.70","1,351.70","1,351.70","0.00K","-0.52%"
"Oct 15, 2017","1,356.20","1,382.00","1,382.00","1,382.00","0.01K","-1.75%"
"Oct 08, 2017","1,380.40","1,362.00","1,374.70","1,362.00","0.00K","2.25%"
